Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
How To Learn Online,Edx,Education & Teacher Training,Introductory,English,None,No,Learning Design
The Science Of Happiness,"University Of California, Berkeley",Social Sciences,Introductory,English,None,No,"Evolutionary Biology, Empathy, Psychology"
Remote Work Revolutionfor Everyone,Harvard University,Business & Management,Introductory,English,Professional Certificate Inleading In A Remote Environment,Yes,"Customer Relationship Building, Telecommuting"
Cs50'S Introduction Tocomputer Science,Harvard University,Computer Science,Introductory,English,Professional Certificate Incomputer Science For Game Developmentprofessional Certificate Incomputer Science For Web Programmingprofessional Certificate Incomputer Science For Artificial Intelligenceprofessional Certificate Incomputer Science For Python Programmingxseries Incs50'S Ap‚Æ Computer Science Principles,Yes,"Resource Management, JavaScript (Programming Language), Forensic Sciences, Cryptography, SQL (Programming Language), Finance, Algorithms, Computer Science, HyperText Markup Language (HTML), Data Structures, Python (Programming Language), C (Programming Language), Security Software, Cascading Style Sheets (CSS)"
Data Visualization Andbuilding Dashboards Withexcel And Cognos,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analysis And Visualization Fundamentalsprofessional Certificateindata Analystprofessional Certificateindata Analytics And Visualization With Excel And R,Yes,"Data Visualization, Data Analysis, IBM Cognos Business Intelligence, Spreadsheets, Microsoft Excel"
"Six Sigma Part 2: Analyze,Improve, Control",Technische Universit„§T M„ºNchen,Business & Management,Introductory,English,Professional Certificate Inlean Six Sigma Yellow Belt: Quantitative Tools For Quality And Productivityprofessional Certificate Inlean Six Sigma Green Belt Certification: Sustainability Projectprofessional Certificate Inlean Six Sigma Green Belt Certification: Business Project,Yes,"Lean Manufacturing, Eight Disciplines Problem Solving (8D), Design For Six Sigma, Six Sigma Yellow Belt, Six Sigma Methodology, Lean Six Sigma, Quality Improvement, Statistics, Six Sigma Green Belt Certification, Statistical Process Controls, Lean Six Sigma Green Belt, Confidence Intervals, Quality Management, Control Chart"
Cs50'S Introduction Toprogramming With Python,Harvard University,Computer Science,Introductory,English,Professional Certificate Incomputer Science For Python Programmingprofessional Certificate Inlearning Python For Data Science,Yes,"Computer Science, JavaScript (Programming Language), Data Science, Personal Computers, SQL (Programming Language), Unit Testing, Boolean Expression, Debugging, Python (Programming Language), C (Programming Language), Web Browsers, Regular Expressions, Web Development"
Analyzing Data With Excel,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analysis And Visualization Fundamentalsprofessional Certificateindata Analystprofessional Certificateindata Analytics And Visualization With Excel And R,Yes,"Spreadsheets, Data Cleansing, Microsoft Excel, Pivot Tables And Charts, Data Wrangling, Google Sheets, Data Science, Web Browsers, Data Analysis, Business Marketing"
The Science Of Generosity:Do Good‚Ä¶Feel Good,University Of Pennsylvania,Philanthropy,Introductory,English,None,No,None
Entrepreneurialoperations: Launching Astartup,Babson College,Business & Management,Intermediate,English,Professional Certificate Inentrepreneurial Mindset And Leadership,Yes,Operations
Marketing Management,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,Micromasters‚ÆProgram Inentrepreneurshipmicromasters‚ÆProgram Inbusiness Managementmicromasters‚ÆProgram Inproduct Marketing Strategy,Yes,"Customer Service, Marketing Mix, Customer Satisfaction, Marketing Management, Marketing, Management Consulting"
The Foundations Ofhappiness At Work,"University Of California, Berkeley",Business & Management,Introductory,English,Professional Certificate Inthe Science Of Happiness At Work,Yes,Innovation
Introduction To Webaccessibility,The World Wide Web Consortium‚Ä¶,Computer Science,Introductory,English,None,No,"User Experience, Web Accessibility Initiative, Rich Internet Application, Information Technology, International Standards, Web Content Accessibility Guidelines, Cooperation, Assistive Technology, Web Accessibility"
Coaching Skills Forlearner-Centredconversations,Imperial College London,Education & Teacher Training,Introductory,English,None,No,Life Coaching
Creating Innovativebusiness Models,"University System Of Marylandthe University Of Maryland, Colle‚Ä¶",Business & Management,Introductory,English,Professional Certificate Ininnovation And Entrepreneurship,Yes,"Financial Strategy, Value Propositions, Innovation, Financial Modeling, Marketing Strategies"
Greatest Unsolvedmysteries Of The Universe,Australian National University,Physics,Intermediate,English,Xseriesinastrophysics,Yes,Astrophysics
Interdisciplinary Teachingwith Museum Objects,The Smithsonian Institution,Education & Teacher Training,Introductory,English,Professional Certificateinthe Smithsonian Summer Sessions: Teaching With Museum Objects,Yes,"African-American History, Interdisciplinary Teaching"
Interculturalcommunication At Work ¬ÄìLand The Job And Do It Well,The National University Of Singap‚Ä¶,Communication,Intermediate,English,None,No,"Writing, Presentations, Intercultural Communication, Emotional Intelligence, Personal Branding, Teamwork, Conflict Management, Negotiation, Cultural Sensitivity, Relationship Building, Management, Resilience"
Data Science And Agilesystems For Productmanagement,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Intermediate,English,Professional Certificateinproduct Management,Yes,"Modularity, Data Collection, Operations, Fault Tolerance, Product Management, DevOps, Influencing Skills, Automation, Data Management, Agile Methodology, Data Science, Design And Technology, Self Service Technologies"
Climate Change: Financialrisks And Opportunities,Imperial College Business Schoolimperial College London,Economics & Finance,Intermediate,English,None,No,"Finance, Financial Market, Risk Management, Capital Markets, Financial Services, Investments"
Strategies For Onlineteaching And Learning,University Of British Columbia,Education & Teacher Training,Introductory,English,Professional Certificate Inonline Teaching For Educators: Development And Delivery,Yes,"Teaching, Pedagogy, Online Course Development, Online Teaching"
Exercising Leadership:Foundational Principles,Harvard University,Business & Management,Introductory,English,Professional Certificateinleadership And Communicationprofessional Certificateinleading In A Remote Environmentprofessional Certificateinhappiness In Leadership: Driving Team Success,Yes,Leadership
Storytelling In Theworkplace,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificateincommunication Skills,Yes,"Target Audience, Writing, Communications"
Cs50'S Introduction Toartificial Intelligence Withpython,Harvard University,Computer Science,Introductory,English,Professional Certificateincomputer Science For Artificial Intelligence,Yes,"Artificial Intelligence, Reinforcement Learning, Mathematical Optimization, Proofreading, Algorithms, Python (Programming Language), Intelligent Systems, Search Algorithms, Handwriting Recognition, Medical Diagnosis, Machine Translation, Computer Science, Machine Learning"
Google Cloud Computingfoundations: Cloudcomputing Fundamentals,Google Cloud,Computer Science,Introductory,English,Professional Certificateingoogle Cloud Computing Foundations,Yes,"Google Cloud, Cloud Computing"
Cs50'S Web Programmingwith Python Andjavascript,Harvard University,Computer Science,Intermediate,English,Professional Certificateincomputer Science For Web Programming,Yes,"Computer Science, Scalability, JavaScript (Programming Language), Application Programming Interface (API), Application Deployment, Django (Web Framework), Database Design, Cloud Services, SQL (Programming Language), React.js, Python (Programming Language), Cloud Computing, Web Development, Github"
Cs50'S Introduction Tocybersecurity,Harvard University,Computer Science,Introductory,English,None,No,"Usability, Cyber Security"
Python Basics For Datascience,Ibm,Data Analysis & Statistics,Introductory,English,Microbachelors Programinfull Stack Application Developmentprofessional Certificateindata Engineering Fundamentalsprofessional Certificateinapplied Aiprofessional Certificateinpython Data Scienceprofessional Certificateinibm Data Scienceprofessional Certificateindata Analystprofessional Certificateindata Engineeringprofessional Certificateindevops And Software Engineeringprofessional Certificateinfull Stack Developer,Yes,"Python (Programming Language), Data Analysis, Data Visualization, Data Science, Machine Learning, Jupyter, Watson Studio"
Data Science: Machinelearning,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Speech Recognition, Principal Component Analysis, Machine Learning Algorithms, Algorithms, Forecasting, Machine Learning, Recommender Systems, Data Science"
Ielts Academic Testpreparation,The University Of Queensland,Communication,Introductory,English,None,No,"Writing, English Language"
Rhetoric: The Art Ofpersuasive Writing Andpublic Speaking,Harvard University,Humanities,Introductory,English,Professional Certificateinleadership And Communication,Yes,"Persuasive Writing, Rhetoric, Public Speaking, Persuasive Communication, Economics, Communications, Writing"
